gene_symbol	entrez_human	entrez_rat	entrez_mouse	Unirprot_Human	Uniprot_Rat	Uniprot_mouse	gene_name	synonym	DbTF	pubmed_id	evidence.type	AnimalTFDB	Vaquerizas.et.al	ORFeome	Ravasi.et.al	TFCat	JASPAR	GOC	DBD	TcoF.DB	pubmed_id.1	taxon	pubmed_id.2	taxon.1	pubmed_id.3	taxon.2	pubmed_id.4	taxon.3	pubmed_id.5	taxon.4	pubmed_id.6	taxon.5
DLX2	1746	296499	13392	Q53QU7,Q07687	G3V668	Q52KJ2,P40764	distal-less homeobox 2	TES-1|TES1	yes	14769946	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	14769946	10090	0	0	0	0	0	0	0	0	0	0
ESRRG	2104	360896	26381	F1D8R5,E9PGB7,F8W8J3,F1D8R6,P62508,B3KY84,B7Z5E9,C0SQ93	P62510	P62509	estrogen-related receptor gamma	ERR3|ERRGAMMA|NR3B3	yes	15149736	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	15149736	9606;10090	0	0	0	0	0	0	0	0	0	0
FOXD2	2306	313504	17301	O60548		O35392	forkhead box D2	FKHL17|FREAC-9|FREAC9	yes	12621056	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	12621056	9606	0	0	0	0	0	0	0	0	0	0
FOXO4	4303	302415	54601	P98177	D4A433	Q9WVH3,B1AUT3	forkhead box O4	AFX|AFX1|MLLT7	yes	11777915	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	11777915	9606	0	0	0	0	0	0	0	0	0	0
LHX4	89884	360858	16872	Q969G2		P53776	LIM homeobox 4	CPHD4	yes	15998782	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	15998782	9606	0	0	0	0	0	0	0	0	0	0
MYC	4609	24577	17869	P01106	P09416	B2RSN1,P01108	v-myc myelocytomatosis viral oncogene homolog (avian)	MRTL|BHLHE39|C-MYC	yes	16287840	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	0	DBD	TcoF-DB	16287840	9606	0	0	0	0	0	0	0	0	0	0
SOX2	6657	499593	20674	P48431	D4A543	Q3V2B6,P48432,Q60I23	SRY (sex determining region Y)-box 2	ANOP3|MCOPS3	yes	15860457	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	0	0	TcoF-DB	15860457	9606;10090	0	0	0	0	0	0	0	0	0	0
ZNF256	10172	0	0	Q9Y2P7			zinc finger protein 256	BMZF-3|BMZF3	yes	18060868	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	18060868	9606	0	0	0	0	0	0	0	0	0	0
SMAD2	4087	29357	17126	Q53XR6,B7Z5N5,Q15796	O70436	Q62432	SMAD family member 2	JV18|JV18-1|MADH2|MADR2|HMAD-2|HSMAD2	yes	11139470, 18471442	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	18471442	9606	11139470	9606	0	0	0	0	0	0	0	0
ZNF23	7571	307839	234725	P17027	D3ZLR3	G5E8C8,Q3TRD7	zinc finger protein 23	KOX16|ZNF359|ZNF612|ZFP612	yes	17137575	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	17137575	9606	0	0	0	0	0	0	0	0	0	0
NFATC3	4775	361400	18021	Q12968,B5B2S0,B5B2S1	D3ZU59	Q3UZ64	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	NFAT4|NFATX	yes	7650004, 7650004, 15173172	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	15173172	10090	7650004	9606;10090	7650004	9606	0	0	0	0	0	0
FOXA1	3169	25098	15375	P55317	P23512	P35582	forkhead box A1	HNF3A|TCF3A	yes	2227418, 15485926, 20018680	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	GOC	DBD	TcoF-DB	20018680	9606	15485926	10116	2227418	10116	0	0	0	0	0	0
MXI1	4601	25701	17859	P50539	Q642D1	Q6P2L3,Q3USD3,Q3U3X2,P50540	MAX interactor 1, dimerization protein	MAD2|MXD2|MXI|BHLHC11	yes	8425219, 15467743, 15467743	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	15467743	9606	15467743	9606	8425219	9606	0	0	0	0	0	0
FOS	2353	314322	14281	Q6FG41,P01100	P12841	P01101	FBJ murine osteosarcoma viral oncogene homolog	AP-1|C-FOS|P55	yes	8798512, 11925568, 15073183	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	15073183	10090	11925568	9606;10090	8798512	9606	0	0	0	0	0	0
AIRE	326	294328	11634	O43918		Q3ZB71,Q9Z0E3,Q3ZB65,B2MVU6	autoimmune regulator	AIRE1|APECED|APS1|APSI|PGA1	yes	11274163, 11533054	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	11533054	9606	11274163	9606	0	0	0	0	0	0	0	0
CRX	1406	60446	12951	O43186	Q9JLT8	Q543C9,O54751,E9PXK1	cone-rod homeobox	CORD2|CRD|LCA7|OTX3	yes	15001570, 16332268	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	16332268	10090	15001570	9606	0	0	0	0	0	0	0	0
GABPA	2551	363735	14390	A8IE48,Q06546,Q8IYS3	D4ACQ9	Q00422	GA binding protein transcription factor, alpha subunit 60kDa	E4TF1-60|E4TF1A|NFT2|NRF2|NRF2A|RCH04A07	yes	10773883, 15361867	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	GOC	DBD	TcoF-DB	15361867	10090	10773883	10090	0	0	0	0	0	0	0	0
GATA2	2624	25159	14461	P23769	Q924Y4,B2DBE1	Q3U320,O09100	GATA binding protein 2	DCML|MONOMAC|NFE1B	yes	9565596, 14512418	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	GOC	DBD	TcoF-DB	14512418	9606;10116	9565596	9606	0	0	0	0	0	0	0	0
ESR2	2100	25149	13983	Q7LCB3,F1D8N3,Q92731	Q62986	O08537	estrogen receptor 2 (ER beta)	ER-BETA|ESR-BETA|ESRB|ESTRB|ERB|NR3A2	yes	9058381, 12047722, 16484337	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	GOC	DBD	TcoF-DB	16484337	9606	12047722	9606	9058381	10090	0	0	0	0	0	0
ETV5	2119	303828	104156	P41161	D4AC56	Q9CXC9	ets variant 5	ERM	yes	15138262, 15466854, 15857832	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	15857832	9606	15466854	10090	15138262	10090	0	0	0	0	0	0
ARNTL	406	29657	11865	O00327	Q9EPW1	Q3UHZ2,Q9WTL8	aryl hydrocarbon receptor nuclear translocator-like	BMAL1|BMAL1C|JAP3|MOP3|PASD3|TIC|BHLHE5	yes	9576906, 9616112	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	9616112	10090	9576906	9606	0	0	0	0	0	0	0	0
ASCL1	429	64186	17172	P50553	P19359	Q02067	achaete-scute complex homolog 1 (Drosophila)	ASH1|HASH1|MASH1|BHLHA46	yes	8662987, 8900141	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	8900141	9606; 10090	8662987	10090	0	0	0	0	0	0	0	0
ATF4	468	79255	11911	Q96AQ3,P18848	B0BMW3,Q9ES19	Q8CF69,Q06507	activating transcription factor 4 (tax-responsive enhancer element B67)	CREB-2|CREB2|TAXREB67|TXREB	yes	2516827, 16000305	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	0	TcoF-DB	16000305	10090	2516827	9606	0	0	0	0	0	0	0	0
ATF5	22809	282840	107503	Q9Y2D1	Q6P788	O70191,Q3UJF3	activating transcription factor 5	ATFX|HMFN0395	yes	2516827, 15735663	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	15735663	9606	2516827	9606	0	0	0	0	0	0	0	0
ATF7	11016	315333	223922	P17544	G3V7X9	Q3U2X8,Q8R0S1	activating transcription factor 7	ATFA	yes	2516827, 11278933	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	11278933	10090	2516827	9606	0	0	0	0	0	0	0	0
BARX2	8538	679701	12023	Q9UMQ3		O08686	BARX homeobox 2	-	yes	14744868, 15728386	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	15728386	10090	14744868	9606	0	0	0	0	0	0	0	0
CEBPG	1054	25301	12611	P53567	P26801,B2GVA2	Q54AJ1,P53568	CCAAT/enhancer binding protein (C/EBP), gamma	GPE1BP|IG/EBP-1	yes	7501458, 15833715	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	15833715	9606;10090	7501458	9606;10090	0	0	0	0	0	0	0	0
DMRT1	1761	114498	50796	Q9Y5R6	Q925A6	Q9QZ59	doublesex and mab-3 related transcription factor 1	DMT1	yes	20616082, 20951351	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	20951351	10090	20616082	10090	0	0	0	0	0	0	0	0
EBF1	1879	116543	13591	Q9UH73	Q63398	Q5SWK5,Q07802	early B-cell factor 1	COE1|EBF|O/E-1|OLF1	yes	12446773, 20543837	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	GOC	0	TcoF-DB	20543837	10090	12446773	10090	0	0	0	0	0	0	0	0
ELF1	1997	85424	13709	E9PDQ9,Q6MZZ4,B4E2I5,P32519	G3V9V2,Q9EQY3,Q9EQY2	Q3V1H4,Q60775	E74-like factor 1 (ets domain transcription factor)	-	yes	12065417, 16002702	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	16002702	10090	12065417	10090	0	0	0	0	0	0	0	0
FOXC1	2296	364706	17300	Q12948		Q61572	forkhead box C1	ARA|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3	yes	12533514, 15684392	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	GOC	DBD	TcoF-DB	15684392	9606	12533514	10090	0	0	0	0	0	0	0	0
GLI3	2737	140588	14634	P10071		B2RUG4,Q3TYX7,Q61602	GLI family zinc finger 3	ACLS|GCPS|GLI3-190|GLI3FL|PAP-A|PAPA|PAPA1|PAPB|PHS|PPDIV	yes	10433919, 16396903	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	16396903	10090	10433919	9606;10116	0	0	0	0	0	0	0	0
HES1	3280	29577	15205	Q14469	Q04666	P35428,Q3UZZ2	hairy and enhancer of split 1, (Drosophila)	HES-1|HHL|HRY|BHLHB39	yes	15467735, 21106062	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	21106062	9606	15467735	9606	0	0	0	0	0	0	0	0
HIF1A	3091	29560	15251	D0VY79,Q16665	O35800	Q3UCW2,Q61221	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	HIF-1A|HIF-1ALPHA|HIF1|HIF1-ALPHA|MOP1|PASD8|BHLHE78	yes	15111179, 20427574	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	GOC	DBD	TcoF-DB	20427574	9606	15111179	9606	0	0	0	0	0	0	0	0
JUN	3725	24516	16476	P05412	P17325	Q52L79,P05627	jun proto-oncogene	AP-1|AP1|C-JUN	yes	12215258, 15494506	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	0	DBD	TcoF-DB	15494506	10090	12215258	10090	0	0	0	0	0	0	0	0
MAFF	23764	366960	17133	Q9ULX9	D3ZC87	O54791,Q3U0G5	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	U-MAF|HMAFF	yes	8107826, 12490281	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	12490281	9606	8107826	10090	0	0	0	0	0	0	0	0
MEF2D	4209	81518	17261	Q14814	O89038	Q921S6	myocyte enhancer factor 2D	-	yes	7760790, 8269842	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	8269842	9606	7760790	9606;10090	0	0	0	0	0	0	0	0
NFIX	4784	81524	18032	B4DHW2,Q14938	F2Z3R4,O70189,O70190	Q3TYK3,P70257,E9PUH7,Q5CZY4	nuclear factor I/X (CCAAT-binding transcription factor)	MRSHSS|NF1A|SOTOS2	yes	9660824, 9822643	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	0	TcoF-DB	9822643	9606	9660824	10090	0	0	0	0	0	0	0	0
NRF1	4899	312195	18181	Q96AN2,Q16656	B1WC04	Q8CAV3,G3XA39,Q99K73,Q3UXF4,E9Q7X0,Q9WU00,Q8C4C0,Q3UYQ3	nuclear respiratory factor 1	ALPHA-PAL	yes	9580677, 19674972	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	0	TcoF-DB	19674972	9606	9580677	10090	0	0	0	0	0	0	0	0
RUNX2	860	367218	12393	Q13950		E0CZ12,F8WHN7,Q08775,Q9Z2T9	runt-related transcription factor 2	AML3|CBFA1|CCD|CCD1|OSF-2|OSF2|PEA2AA|PEBP2A1|PEBP2A2|PEBP2AA|PEBP2AA1	yes	11451945, 16574347	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	16574347	10090	11451945	10090	0	0	0	0	0	0	0	0
STAT6	6778	362896	20852	B4DQB3,P42226,A8K4S9	Q1KQ07	P52633	signal transducer and activator of transcription 6, interleukin-4 induced	D12S1644|IL-4-STAT|STAT6B|STAT6C	yes	7760829, 8810328	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	8810328	9606	7760829	10090	0	0	0	0	0	0	0	0
ZNF589	51385	0	0	Q86UQ0			zinc finger protein 589	SZF1	yes	12097288, 10029171	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	12097288	9606	10029171	9606	0	0	0	0	0	0	0	0
AHR	196	25690	11622	P35869	P41738	Q3U5D9,P30561	aryl hydrocarbon receptor	BHLHE76	yes	7592839	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	7592839	10090	0	0	0	0	0	0	0	0	0	0
ARNT	405	25242	11863	A8K6P0,B0AZM1,P27540	P41739	Q3ULM2,P53762	aryl hydrocarbon receptor nuclear translocator	HIF-1-BETA|HIF-1BETA|HIF1-BETA|HIF1B|HIF1BETA|TANGO|BHLHE2	yes	7592839	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	GOC	DBD	TcoF-DB	7592839	10090	0	0	0	0	0	0	0	0	0	0
ARNT2	9915	25243	11864	Q86TN1,Q9HBZ2,Q7Z3A3	Q78E60	Q61324	aryl-hydrocarbon receptor nuclear translocator 2	BHLHE1	yes	8657146	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	8657146	10090	0	0	0	0	0	0	0	0	0	0
ARX	170302	317268	11878	Q96QS3	A6YP92	O35085	aristaless related homeobox	CT121|EIEE1|ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS	yes	15930104	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	15930104	10090	0	0	0	0	0	0	0	0	0	0
ASCL2	430	24209	17173	Q99929	P19360	Q3TJR9,O35885	achaete-scute complex homolog 2 (Drosophila)	ASH2|HASH2|MASH2|BHLHA45	yes	1314394	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	1314394	generic	0	0	0	0	0	0	0	0	0	0
ASCL3	56676	246301	56787	Q9NQ33	Q8VD56,F1LQ83	Q9JJR7	achaete-scute complex homolog 3 (Drosophila)	HASH3|SGN1|BHLHA42	yes	11784080	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	11784080	9606;10090	0	0	0	0	0	0	0	0	0	0
ATF6B	1388	406169	12915	Q6AZW6,Q99941	Q4G097	Q3UJ07,O35451	activating transcription factor 6 beta	CREB-RP|CREBL1|G13	yes	14973138	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	14973138	9606	0	0	0	0	0	0	0	0	0	0
ATOH7	220202	365564	53404	F1T0H4,Q8N100	D3ZG53	Q9Z2E5	atonal homolog 7 (Drosophila)	MATH5|BHLHA13	yes	11172005	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	0	TFCat	0	GOC	DBD	TcoF-DB	11172005	10090	0	0	0	0	0	0	0	0	0	0
BACH1	571	304127	12013	O14867,Q6ICU0	D4ACD2	Q3US24,Q3URL4,P97302	BTB and CNC homology 1, basic leucine zipper transcription factor 1	BACH-1	yes	10620011	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	10620011	generic	0	0	0	0	0	0	0	0	0	0
BATF3	55509	60462	381319	Q9NR55	P97876	Q9D275	basic leucine zipper transcription factor, ATF-like 3	JDP1|JUNDM1|SNFT	yes	15467742	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	15467742	9606	0	0	0	0	0	0	0	0	0	0
BCL11A	53335	305589	14025	D6W5D9,Q9H165,D9YZV9	D3ZSY3	Q5STS5,Q9QYE3,Q3US10,Q5STS8,Q5STS9,Q5STS7,Q3TP99	B-cell CLL/lymphoma 11A (zinc finger protein)	BCL11A-L|BCL11A-S|BCL11A-XL|BCL11A-M|CTIP1|EVI9|HBFQTL5|ZNF856	yes	19056937	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	19056937	9606	0	0	0	0	0	0	0	0	0	0
BHLHA15	168620	25334	17341	Q7RTS1	P70562	Q9QYC3	basic helix-loop-helix family, member a15	BHLHB8|MIST1	yes	20038531	Experimental	AnimalTFDB	Vaquerizas et al	0	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	20038531	9606	0	0	0	0	0	0	0	0	0	0
BHLHE40	8553	79431	20893	O14503,Q6IB83	O35780	Q542A5,O35185	basic helix-loop-helix family, member e40	BHLHB2|DEC1|HLHB2|SHARP-2|STRA13|STRA14	yes	12297495	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	12297495	10090	0	0	0	0	0	0	0	0	0	0
BSX	390259	500982	244813	Q3C1V8	D4A5F6	Q810B3	brain-specific homeobox	BSX1	yes	17550780	Experimental	AnimalTFDB	Vaquerizas et al	0	0	0	0	GOC	DBD	0	17550780	10090	0	0	0	0	0	0	0	0	0	0
CEBPE	1053	25410	110794	Q15744	P56261	Q6PZD9	CCAAT/enhancer binding protein (C/EBP), epsilon	C/EBP-EPSILON|CRP1	yes	10233885	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	10233885	10090	0	0	0	0	0	0	0	0	0	0
CLOCK	9575	60447	12753	Q53EU0,O15516,Q3ZCT4	Q9WVS9	O08785	clock circadian regulator	KAT13D|BHLHE8	yes	15147242	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	15147242	10090	0	0	0	0	0	0	0	0	0	0
CSDA	8531	83807	56449	P16989	Q3KRC7,Q62764	Q68G78,Q9JKB3	cold shock domain protein A	CSDA1|DBPA|ZONAB	yes	20636440	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	20636440	9606	0	0	0	0	0	0	0	0	0	0
CTCF	10664	83726	13018	P49711	Q9R1D1	Q61164	CCCTC-binding factor (zinc finger protein)	-	yes	15143173	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	GOC	DBD	TcoF-DB	15143173	10090	0	0	0	0	0	0	0	0	0	0
DBP	1628	24309	13170	Q10586	P16443	Q3USN7,Q60925	D site of albumin promoter (albumin D-box) binding protein	DABP	yes	2331750	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	2331750	9606;10116	0	0	0	0	0	0	0	0	0	0
DEAF1	10522	83632	54006	O75398	O88450	Q9Z1T5	DEAF1 transcription factor	NUDR|SPN|ZMYND5	yes	9860983	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	9860983	10090	0	0	0	0	0	0	0	0	0	0
DLX6	1750	500023	13396	J3KR92,P56179		P70397	distal-less homeobox 6	-	yes	11711438	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	11711438	10090	0	0	0	0	0	0	0	0	0	0
DMBX1	127343	313512	140477	Q8NFW5		B1ASG2,Q91ZK4	diencephalon/mesencephalon homeobox 1	MBX|OTX3|PAXB	yes	12055180	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	12055180	10090	0	0	0	0	0	0	0	0	0	0
DMTF1	9988	114485	23857	Q9Y222,B3KMJ8	Q66HG1	Q8CE22	cyclin D binding myb-like transcription factor 1	DMP1|DMTF|HDMP1	yes	19816943	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	0	TcoF-DB	19816943	10090	0	0	0	0	0	0	0	0	0	0
E2F1	1869	399489	13555	Q9BSD8,Q01094	G3V854	Q61501,Q547J6	E2F transcription factor 1	E2F-1|RBAP1|RBBP3|RBP3	yes	17178835	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	JASPAR	GOC	DBD	TcoF-DB	17178835	10090	0	0	0	0	0	0	0	0	0	0
E2F2	1870	24566	242705	Q14209	P70521	P56931,Q8BJ38	E2F transcription factor 2	E2F-2	yes	10766737	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	10766737	generic	0	0	0	0	0	0	0	0	0	0
E2F4	1874	100360427	104394	Q16254	D4A9V4	Q8R0K9	E2F transcription factor 4, p107/p130-binding	E2F-4	yes	12110166	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	12110166	10090	0	0	0	0	0	0	0	0	0	0
E2F5	1875	116651	13559	Q15329		Q61502	E2F transcription factor 5, p130-binding	E2F-5	yes	7760804	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	7760804	9606	0	0	0	0	0	0	0	0	0	0
E2F8	79733	308607	108961	A0AVK6		Q58FA4	E2F transcription factor 8	E2F-8	yes	16179649	Experimental	AnimalTFDB	Vaquerizas et al	0	Ravasi et al	TFCat	0	GOC	DBD	0	16179649	9606	0	0	0	0	0	0	0	0	0	0
EBF2	64641	361060	13592	Q9HAK2,B7Z934,B2RNT0	D3ZT68	O08792	early B-cell factor 2	COE2|EBF-2|O/E-3|OE-3	yes	17018599	Experimental	AnimalTFDB	0	ORFeome	Ravasi et al	TFCat	0	GOC	0	0	17018599	10090	0	0	0	0	0	0	0	0	0	0
EBF3	253738	361668	13593	Q9H4W6	D4A274	Q5DTH8,Q6NXL3,O08791	early B-cell factor 3	COE3|EBF-3|O/E-2|OE-2	yes	17018599	Experimental	AnimalTFDB	Vaquerizas et al	0	Ravasi et al	TFCat	0	GOC	0	TcoF-DB	17018599	10090	0	0	0	0	0	0	0	0	0	0
EGR2	1959	114090	13654	P11161	P51774	Q3U207,P08152	early growth response 2	AT591|CMT1D|CMT4E|KROX20	yes	12687019	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	12687019	9606	0	0	0	0	0	0	0	0	0	0
EGR3	1960	25148	13655	B4DH80,Q06889,E7EW38,B4DHJ5	P43301	P43300	early growth response 3	EGR-3|PILOT	yes	1906159	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	1906159	10090	0	0	0	0	0	0	0	0	0	0
EGR4	1961	25129	13656	G3V1T5,B7ZKU3,B2RAE3	Q00911	Q9WUF2,Q3URA9	early growth response 4	NGFI-C|NGFIC|PAT133	yes	17192429	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	0	0	17192429	10090	0	0	0	0	0	0	0	0	0	0
ELF2	1998	361944	69257	Q15723	Q5XIS3,Q5XIT5	Q9JHC9	E74-like factor 2 (ets domain transcription factor)	EU32|NERF|NERF-1A|NERF-1B|NERF-1A,B|NERF-2	yes	8756667	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	8756667	9606	0	0	0	0	0	0	0	0	0	0
ELF3	1999	304815	13710	P78545	Q4V7E1	Q3UPW2	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	EPR-1|ERT|ESE-1|ESX	yes	11893733	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	11893733	10090	0	0	0	0	0	0	0	0	0	0
ELF4	2000	302811	56501	Q99607		Q9Z2U4	E74-like factor 4 (ets domain transcription factor)	ELFR|MEF	yes	8895518	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	8895518	9606	0	0	0	0	0	0	0	0	0	0
EOMES	8320	316052	13813	O95936		O54839	eomesodermin	TBR2	yes	11585801	Experimental	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	11585801	Other	0	0	0	0	0	0	0	0	0	0
