From	To
IPI00006903	A8K2X9
IPI00006903	Q9NQS5
IPI00014802	Q8NEN2
IPI00014802	A4D0T8
IPI00014802	P60893
IPI00306651	Q9BY21
IPI00004926	Q9GZN0
IPI00006962	B4DZ78
IPI00026881	P30550
IPI00013375	O43613
IPI00013376	O43614
IPI00013376	A6N9G8
IPI00013376	Q548Y0
IPI00018147	B2R782
IPI00018147	P35367
IPI00018147	A8K7Z2
IPI00012312	P25021
IPI00217217	Q548M6
IPI00217217	Q9Y5N1
IPI00023596	Q96LD9
IPI00023596	Q9H3N8
IPI00031686	P08908
IPI00031686	Q5ZGX3
IPI00031686	A8K5W4
IPI00002184	A8K215
IPI00002184	P28222
IPI00002183	P28221
IPI00003932	P28566
IPI00028093	P30939
IPI00002185	B3VRC0
IPI00002185	P28223
IPI00015134	B3VRD5
IPI00015134	B3VRC5
IPI00015134	B3VRD0
IPI00015134	P41595
IPI00002876	B3VRE5
IPI00002876	B3VRE0
IPI00002876	P28335
IPI00748585	Q13639
IPI00026666	P47898
IPI00026666	A4D2N2
IPI00026666	Q86UN1
IPI00026666	Q14D80
IPI00026666	Q75LH0
IPI00032009	Q59GI0
IPI00032009	P50406
IPI00477724	Q5VX04
IPI00296618	P25024
IPI00012320	P25025
IPI00012320	Q53PC4
IPI00099988	Q969F8
IPI00217954	Q9BXB1
IPI00217954	Q59ER8
IPI00514691	Q9HBX8
IPI00299615	Q53S49
IPI00299615	P22888
IPI00019382	Q15722
IPI00022867	Q9NPC1
IPI00022867	B4E292
IPI00022860	P04201
IPI00018669	Q502V9
IPI00018669	P35410
IPI00009312	Q01718
IPI00018253	P41968
IPI00027684	A0N0W6
IPI00027684	A0N0W9
IPI00027684	P32245
IPI00027684	A0N0W7
IPI00027684	A0N0W8
IPI00012299	P33032
IPI00017705	Q99705
IPI00017705	Q5IFI4
IPI00299952	Q969V1
IPI00011240	O43193
IPI00447219	Q8TDS7
IPI00783196	B4DF56
IPI00059513	Q8N7J6
IPI00059513	Q8IXE2
IPI00059513	Q96AM1
IPI00333751	Q86SM5
IPI00064965	Q96LB1
IPI00102131	Q96LB0
IPI00064953	Q96LA9
IPI00007600	Q8WZ72
IPI00007600	P48039
IPI00007600	Q29RX9
IPI00026564	P49286
IPI00026564	Q8TEV7
IPI00002878	P28336
IPI00002878	Q4VBL0
IPI00307219	B4DTH8
IPI00307219	Q9HB89
IPI00100753	Q9GZQ4
IPI00008160	P48145
IPI00008162	P48146
IPI00008162	Q6NWQ5
IPI00026347	Q9GZQ6
IPI00026347	Q5T6D8
IPI00306912	Q9Y5X5
IPI00556142	Q6W5P4
IPI00018252	P25929
IPI00026065	P49146
IPI00019491	Q15761
IPI00006178	Q99463
IPI00006178	B4DNC5
IPI00028150	P30989
IPI00032116	O95665
IPI00021724	Q68CR4
IPI00021724	P04000
IPI00021725	Q9UQS0
IPI00021725	P04001
IPI00008604	P03999
IPI00008604	Q0PJU0
IPI00300717	Q9H1Y3
IPI00646790	C9JWU6
IPI00646790	Q9UHM6
IPI00395810	Q6U736
IPI00298305	P41143
IPI00012735	B2R7P1
IPI00012735	P41145
IPI00012736	Q6FGM5
IPI00012736	P41146
IPI00514084	P35372
IPI00152594	Q8TDS5
IPI00044282	B2R986
IPI00044282	Q96P68
IPI00026886	B2R9L7
IPI00026886	P30559
IPI00026825	B2R9U4
IPI00026825	P47900
IPI00004964	O00398
IPI00004964	A8K7X3
IPI00009729	A8K7T1
IPI00009729	Q9H244
IPI00009729	B2RE67
IPI00789314	Q9BPV8
IPI00016701	Q15391
IPI00016701	A5JUU3
IPI00298653	P41231
IPI00298653	C6G7W2
IPI00298653	C6G7W1
IPI00019403	P51582
IPI00019403	C6G7W4
IPI00019403	C6G7W3
IPI00019955	P43657
IPI00019955	B3KVQ5
IPI00019955	F2YGU4
IPI00014315	Q15077
IPI00329027	Q86VZ1
IPI00031457	Q4KKW2
IPI00031457	P50391
IPI00027755	A5JUU5
IPI00027755	P49683
IPI00027755	B2R881
IPI00152470	Q8TCW9
IPI00168843	Q8NFJ6
IPI00168843	A8K1T0
IPI00012730	P25105
IPI00012730	B2R7Z4
IPI00012730	A8K7N8
IPI00012371	Q13258
IPI00003081	Q05C32
IPI00003081	P34995
IPI00016314	P43116
IPI00554479	Q5CZ63
IPI00554479	Q5CZ60
IPI00018648	P35408
IPI00015730	Q4LEK1
IPI00015730	Q71UN9
IPI00015730	P43088
IPI00843916	P47804
IPI00027391	P08100
IPI00023623	O14718
IPI00012456	Q4W5D9
IPI00012456	B3KV27
IPI00012456	Q9HBX9
IPI00103510	Q8WXD0
IPI00009828	Q502V2
IPI00009828	Q9NSD7
IPI00291503	Q8TDU9
IPI00027804	P30872
IPI00027807	P30874
IPI00027807	B2R9P7
IPI00030283	P32745
IPI00030283	Q86YF2
IPI00306173	P31391
IPI00018079	P35346
IPI00011451	Q9BXA5
IPI00045329	Q96RJ0
IPI00005616	Q9P1P5
IPI00005619	Q9P1P4
IPI00022579	O14804
IPI00045309	Q96RI8
IPI00056444	Q969N4
IPI00045310	Q96RI9
IPI00012729	Q53TR1
IPI00012729	Q4VBL8
IPI00012729	P25103
IPI00412405	P21452
IPI00021358	Q0IIN4
IPI00021358	P29371
IPI00021358	Q4VBL9
IPI00745939	P21731
IPI00003065	P34981
IPI00744312	O43200
IPI00744312	Q4ZIL0
IPI00744312	Q8NH23
IPI00744312	F5GYU5
IPI00744312	Q59GA2
IPI00744312	P16473
IPI00152453	Q1JUM5
IPI00152453	Q1JUM2
IPI00152453	Q1JUL9
IPI00152453	Q6UR99
IPI00152453	Q6UR93
IPI00152453	A8I0M1
IPI00152453	Q6URA0
IPI00152453	Q1JUM4
IPI00152453	Q1JUM3
IPI00152453	Q6UR94
IPI00152453	Q1JUM0
IPI00152453	Q01726
IPI00152453	Q6UR98
IPI00152453	Q86YW1
IPI00152453	Q1JUL6
IPI00152453	B3KNP6
IPI00152453	Q6UR95
IPI00152453	Q1JUL4
IPI00152453	Q6UR92
IPI00152453	Q6UR97
IPI00152453	Q6UR96
IPI00152453	Q1JUL8
IPI00007696	Q9UKP6
IPI00004349	Q502V0
IPI00004349	P46094
IPI00004349	B2RAP0
IPI00437612	P41586
IPI00437612	Q6S991
IPI00187004	P30988
IPI00187004	F5H605
IPI00873582	D3DPG9
IPI00873582	Q16602
IPI00003083	Q8NG71
IPI00003083	P34998
IPI00219074	Q13324
IPI00295079	Q02643
IPI00218459	P48546
IPI00300576	P43220
IPI00873212	B4DIS8
IPI00873212	Q4VAT2
IPI00873212	Q4VAT1
IPI00873212	Q86XI5
IPI00873212	Q86YG9
IPI00873212	O95838
IPI00478934	A8KA23
IPI00478934	Q5UAW9
IPI00026641	Q8IV17
IPI00026641	P47872
IPI00026641	B2RBF3
IPI00218266	P32241
IPI00420122	P41587
IPI00021300	Q50L08
IPI00021300	Q50L07
IPI00021300	Q502V6
IPI00021300	Q9NYW7
IPI00028349	Q50KS2
IPI00028349	Q50KS4
IPI00028349	Q9NYW0
IPI00028349	Q50KS3
IPI00028332	Q50KQ6
IPI00028332	Q9NYV9
IPI00028332	A7E1X5
IPI00028332	Q50KQ5
IPI00028350	Q9NYV8
IPI00028350	Q50KP5
IPI00027216	Q50KN6
IPI00027216	Q9NYV7
IPI00027216	Q50KN5
IPI00027205	Q9NYW6
IPI00027205	Q50KZ1
IPI00027205	Q50KY9
IPI00249602	Q50KM1
IPI00249602	Q50KM2
IPI00249602	P59533
IPI00249602	Q50KM3
IPI00249602	Q86UK4
IPI00470540	Q50KL2
IPI00470540	P59534
IPI00027213	A4D1U1
IPI00027213	Q50KX7
IPI00027213	Q50KX5
IPI00027213	Q9NYW5
IPI00027213	A1L485
IPI00221131	P59535
IPI00221131	Q50KK5
IPI00221131	Q50KK6
IPI00221132	P59536
IPI00375371	Q50KD4
IPI00375371	Q50KD6
IPI00375371	Q50KD5
IPI00375371	Q7RTR8
IPI00259669	P59537
IPI00259671	P59538
IPI00470541	P59540
IPI00255108	Q50KG7
IPI00255108	P59541
IPI00847315	Q71U75
IPI00259673	Q50KF9
IPI00259673	P59542
IPI00259673	Q50KF8
IPI00255111	Q50KF4
IPI00255111	Q50KF2
IPI00255111	Q496D7
IPI00255111	P59543
IPI00255111	Q50KF3
IPI00004476	A4D1U0
IPI00004476	Q9NYW4
IPI00004476	Q50KW4
IPI00004476	Q50KW3
IPI00004476	Q502V5
IPI00259693	Q50KE4
IPI00259693	P59544
IPI00259693	Q50KE2
IPI00259693	Q50KE3
IPI00250364	Q50KC8
IPI00250364	P59551
IPI00028328	Q50KV7
IPI00028328	Q50KV5
IPI00028328	Q9NYW3
IPI00028325	Q50KU2
IPI00028325	Q50KU1
IPI00028325	Q9NYW2
IPI00028325	Q4KN04
IPI00028323	Q9NYW1
IPI00009853	Q9GZP7
IPI00176426	Q8NFZ6
IPI00000035	Q9BXE9
IPI00152613	Q7Z5H5
IPI00168753	Q7Z5H4
IPI00141559	Q8WWV6
IPI00549768	P12319
IPI00549768	Q6GU38
IPI00027491	P06734
IPI00023502	P12314
IPI00023505	P12318
IPI00013971	P31995
IPI00026646	P55899
IPI00064951	Q96LA6
IPI00107694	Q96LA5
IPI00171151	Q96P31
IPI00171151	D3DVD4
IPI00418616	Q6DN72
IPI00383528	Q99563
IPI00302335	P43626
IPI00655842	Q8NHK3
IPI00292723	Q14954
IPI00001584	Q14952
IPI00001584	B6CAV9
IPI00019905	Q32MZ0
IPI00019905	Q4KN55
IPI00019905	P43632
IPI00019905	Q9UNB7
IPI00019905	O00380
IPI00019905	Q8NHI9
IPI00001587	Q14953
IPI00873936	Q2XSU5
IPI00873936	E4W3U5
IPI00873936	E7BWR3
IPI00873936	E8Z919
IPI00873936	E7BWR6
IPI00873936	E4W3V9
IPI00410313	D6BP47
IPI00410313	Q8N743
IPI00410313	D6BP52
IPI00043215	Q8N6C5
IPI00027972	Q8N149
IPI00329104	Q8N6C8
IPI00017501	P59901
IPI00158145	A6NI73
IPI00829955	O75023
IPI00465322	Q9BWV1
IPI00027220	Q4KMG0
IPI00016422	P43146
IPI00023814	Q92859
IPI00154834	Q8TDY8
IPI00658004	Q2VWP7
IPI00292980	Q8IVU1
IPI00470692	Q6ZN44
IPI00328431	Q8IZJ1
IPI00293757	A8K385
IPI00293757	O95185
IPI00216869	Q8IV45
IPI00470696	Q6UXZ4
IPI00025382	Q8N5T0
IPI00025382	P06126
IPI00019849	Q9UN97
IPI00019849	B4E0D2
IPI00019849	P29016
IPI00019849	B4E0D3
IPI00019850	P29017
IPI00013435	P15813
IPI00418592	P15812
IPI00414784	Q9UGN4
IPI00003835	Q08708
IPI00376457	B4E0V9
IPI00166989	A8K4G0
IPI00166989	B4DQ71
IPI00783431	Q8TDQ1
IPI00152018	Q6UXG3
IPI00432782	Q6UXZ3
IPI00552161	B4DNX3
IPI00552161	Q3L1R8
IPI00455582	Q6Q8B3
IPI00019146	P78310
IPI00004573	P01833
IPI00006749	B0V3L0
IPI00006749	O76036
IPI00414863	O95944
IPI00384964	O14931
IPI00008578	Q15762
IPI00293853	Q99795
IPI00031620	B2R736
IPI00031620	Q5NKU1
IPI00031620	P32942
IPI00185088	Q5DX21
IPI00003531	Q93033
IPI00042916	O75054
IPI00245940	Q9NSI5
IPI00025142	O95976
IPI00056478	Q969P0
IPI00299158	A8K4I1
IPI00299158	P15151
IPI00299158	B3KSS4
IPI00003648	Q15223
IPI00022661	Q7Z456
IPI00022661	Q92692
IPI00022959	Q9NQS3
IPI00043992	Q96NY8
IPI00418122	Q9Y6N7
IPI00385980	Q9HCK4
IPI00418275	A8K4T0
IPI00418275	Q96MS0
IPI00103871	Q8WZ75
IPI00023119	O60667
IPI00427321	Q38L15
IPI00427321	Q9NP99
IPI00427321	A8K7Z7
IPI00429125	Q9NZC2
IPI00429125	Q5TCX1
IPI00410333	Q86YW5
IPI00414495	Q6UXN2
IPI00450949	A0N8L7
IPI00450949	Q6P4I7
IPI00450949	P01848
IPI00450949	Q6IPR8
IPI00024139	A0A5A3
IPI00024139	P04435
IPI00639851	A2N8H6
IPI00855945	P15509
IPI00003102	B3KXJ2
IPI00003102	P26992
IPI00289561	O75462
IPI00879222	P32927
IPI00216365	Q1ZYL6
IPI00216365	Q99062
IPI00017476	P19235
IPI00017476	A9QVL7
IPI00023599	P10912
IPI00184319	Q14626
IPI00184319	Q5VZ79
IPI00438855	B7ZB60
IPI00438855	Q99665
IPI00438855	B4DGA4
IPI00020354	Q96BB4
IPI00020354	Q59EG2
IPI00020354	P78552
IPI00032199	D0EFR8
IPI00032199	Q14627
IPI00550381	Q6P0Q3
IPI00550381	Q5JVA8
IPI00550381	Q13261
IPI00021999	Q13478
IPI00021999	B7ZKV7
IPI00021998	O95256
IPI00027508	Q6NWP6
IPI00027508	Q6NWP5
IPI00027508	P14778
IPI00021382	P27930
IPI00031789	A8K6K4
IPI00031789	Q9NPH3
IPI00431738	Q7Z2K4
IPI00431738	Q9NZN1
IPI00431738	Q7Z2H0
IPI00010099	Q9NP60
IPI00296161	A8VPX0
IPI00296161	Q01638
IPI00795930	B2RCY7
IPI00795930	Q9HB29
IPI00643921	B2R735
IPI00303045	B6HY75
IPI00303045	Q5VWK5
IPI00303045	B6HY79
IPI00003101	A2N4P8
IPI00003101	Q53FH4
IPI00003101	B2R9M9
IPI00003101	P01589
IPI00878728	P14784
IPI00878728	B0QYB9
IPI00012899	B2RC41
IPI00012899	P31785
IPI00012899	Q5FC09
IPI00465082	Q8NI17
IPI00003058	Q9UEH7
IPI00003058	P26951
IPI00444383	B2RBY1
IPI00444383	Q53EP8
IPI00444383	B9EGC0
IPI00444383	P24394
IPI00306687	Q14631
IPI00306687	Q01344
IPI00031171	A0N0L5
IPI00031171	P08887
IPI00297124	Q17RA0
IPI00297124	P40189
IPI00292014	F6IQ80
IPI00292014	P16871
IPI00292014	F6IQ79
IPI00005954	Q01113
IPI00009243	P48357
IPI00444272	A8K1Z4
IPI00444272	P42702
IPI00027637	Q308M1
IPI00027637	P40238
IPI00022674	B4E1W9
IPI00022674	Q99650
IPI00028640	P16471
IPI00432567	Q6IA17
IPI00012877	P17181
IPI00010193	P48551
IPI00010808	B4DLL6
IPI00010808	Q9BY69
IPI00010808	B2R6Q9
IPI00010808	Q14936
IPI00010808	P15260
IPI00010808	Q53GX8
IPI00658181	E7EUY1
IPI00014417	Q59F35
IPI00014417	B7ZA31
IPI00014417	B7ZAM7
IPI00014417	Q13651
IPI00014417	B4DWD6
IPI00646217	Q08334
IPI00646217	B4DSX5
IPI00646217	Q6ZVU9
IPI00004366	B2RCV2
IPI00004366	Q9UHF4
IPI00004366	B4DLR5
IPI00097434	Q6UXL0
IPI00297430	Q8N6P7
IPI00216651	Q8IU57
IPI00216651	A4QPA4
IPI00216651	Q3MIC3
IPI00029219	B4DN51
IPI00029219	Q53SV1
IPI00029219	Q04771
IPI00029219	D3DPA4
IPI00029219	Q53SF4
IPI00005732	P36896
IPI00302552	Q8NER5
IPI00015691	P27037
IPI00437565	Q4VAU9
IPI00437565	Q13705
IPI00437565	Q59FL1
IPI00437565	Q71UM3
IPI00784262	B4E0D4
IPI00784262	E7EN07
IPI00784262	B4DUF0
IPI00784262	B4DPT9
IPI00003446	Q16671
IPI00005731	B5BUG9
IPI00005731	P36894
IPI00010862	A8KAE3
IPI00783156	Q13873
IPI00783156	A8K8R5
IPI00005733	Q5T7S2
IPI00005733	P36897
IPI00164934	D2JYI1
IPI00164934	P37173
IPI00296992	P30530
IPI00029756	B2RE75
IPI00029756	Q12866
IPI00029756	Q53QW0
IPI00029756	Q1RMG3
IPI00030887	Q8N6J3
IPI00030887	Q15879
IPI00030887	Q12787
IPI00030887	Q59FM9
IPI00030887	B4DIA4
IPI00030887	Q06418
IPI00018274	F2YGG7
IPI00018274	A9CB80
IPI00018274	E7BSV0
IPI00018274	B7Z2I3
IPI00018274	Q2TTR7
IPI00018274	P00533
IPI00018274	A8K2T7
IPI00300384	P04626
IPI00298285	P21860
IPI00016371	Q15303
IPI00294250	A8K2T6
IPI00294250	P21709
IPI00166339	Q6ZNH1
IPI00166339	Q5JZY3
IPI00298105	Q6P4R6
IPI00298105	P29320
IPI00298105	A8K5U6
IPI00008318	A8K2P1
IPI00008318	B2R601
IPI00008318	Q58F15
IPI00008318	P54764
IPI00008290	B7ZKJ3
IPI00008290	P54756
IPI00008290	B7ZKW7
IPI00008290	Q59FT4
IPI00783604	F5H0Z8
IPI00783604	Q6UWM0
IPI00016645	Q15375
IPI00021274	P29322
IPI00008315	P54762
IPI00021275	Q4LE53
IPI00021275	P29323
IPI00289329	D3DNT9
IPI00289329	P54753
IPI00289342	B4DVT5
IPI00289342	Q59F17
IPI00289342	Q541P7
IPI00289342	P54760
IPI00289342	Q7Z635
IPI00005142	P11362
IPI00218424	D3DRD5
IPI00218424	P21802
IPI00218424	D3DRD9
IPI00556393	Q59F30
IPI00027232	P08069
IPI00025803	P06213
IPI00027212	P14616
IPI00514519	P04629
IPI00000824	Q16288
IPI00657861	Q08345
IPI00004409	Q6MZT2
IPI00004409	Q16832
IPI00018335	P17948
IPI00293565	P35916
IPI00021396	P35968
IPI00021396	B4DEK3
IPI00021396	Q59EB0
IPI00014629	Q504Y2
IPI00021365	P29376
IPI00294528	P08581
IPI00030273	Q04912
IPI00289243	O15146
IPI00298292	Q13308
IPI00013983	Q9UMQ4
IPI00013983	F8TLS5
IPI00013983	Q9UM84
IPI00013983	P07949
IPI00013983	Q9UM90
IPI00013983	F8TLW0
IPI00010405	Q01973
IPI00304999	A1L4F5
IPI00304999	Q01974
IPI00288965	P08922
IPI00219225	Q8WTZ8
IPI00219225	F5H8L5
IPI00219225	P34925
IPI00019530	B4DKW0
IPI00019530	P35590
IPI00019530	B4DTW8
IPI00019530	B5A952
IPI00011218	P07333
IPI00005722	Q5VTU6
IPI00022296	P10721
IPI00022296	D5MAV9
IPI00022296	Q14708
IPI00022296	Q8TCG9
IPI00027721	P16234
IPI00015902	A8KAM8
IPI00015902	P09619
IPI00012491	P25092
IPI00027242	Q02846
IPI00020942	P51841
IPI00027200	B7Z4Y7
IPI00027200	Q8IXF8
IPI00027200	P16066
IPI00027200	B4DU06
IPI00024685	P20594
IPI00013826	P17342
IPI00013826	A8K4A5
IPI00059263	Q96A54
IPI00002224	Q86V24
IPI00018112	Q15546
IPI00217645	Q8IY49
IPI00457115	Q6TCH7
IPI00455669	Q8N4S7
IPI00455669	B4DI04
IPI00293360	Q9NXK6
IPI00514089	Q5TCK5
IPI00328879	Q86WK9
IPI00328879	A1L182
IPI00479237	Q8TEZ7
IPI00479237	B3KXW6
IPI00394849	Q6ZVX9
IPI00219249	P78357
IPI00029343	Q75MQ9
IPI00029343	Q75MF8
IPI00029343	Q75MD4
IPI00029343	Q96T77
IPI00029343	Q9UDV4
IPI00029343	Q75MF6
IPI00029343	O75852
IPI00029343	Q96T80
IPI00029343	Q75LG9
IPI00029343	B2RCH4
IPI00029343	B7Z3Z3
IPI00029343	Q86UL4
IPI00029343	Q9UHC6
IPI00029343	Q86UL9
IPI00001245	Q9BZ76
IPI00647097	Q96NU0
IPI00216250	E9PDN6
IPI00216250	Q8WX98
IPI00216250	Q54A24
IPI00216250	Q9C0A0
IPI00216250	Q96M80
IPI00216250	Q86YZ8
IPI00292300	Q8WYK1
IPI00740827	Q4VWZ9
IPI00013271	Q9BUN8
IPI00304264	Q9GZP9
IPI00430407	Q96Q80
IPI00304993	Q96F46
IPI00148059	Q9NRM6
IPI00300564	Q8NAC3
IPI00641705	Q8NFM7
IPI00413812	Q6ZVW7
IPI00743104	B4DTY8
IPI00743104	P56199
IPI00026165	O75578
IPI00026165	B4E282
IPI00026165	B4E2A1
IPI00215613	Q9UKX5
IPI00013744	P17301
IPI00295976	Q6LDK5
IPI00295976	P08514
IPI00290043	Q86SW1
IPI00290043	P26006
IPI00009803	Q13682
IPI00009803	Q68EM9
IPI00009803	Q59H74
IPI00009803	P13612
IPI00009803	Q6PJE7
IPI00009803	Q8IUA2
IPI00009803	Q8IU66
IPI00306604	B2R627
IPI00306604	P08648
IPI00306604	A8K6A5
IPI00010697	P23229
IPI00014478	Q13683
IPI00023410	B4DN28
IPI00023410	P53708
IPI00015181	Q8N6H6
IPI00015181	Q13797
IPI00007205	P38570
IPI00219896	P20701
IPI00645887	Q4VAK1
IPI00027505	B7ZLX0
IPI00027505	A5YM53
IPI00027505	P06756
IPI00479724	P20702
IPI00479724	B4DDX0
IPI00217561	P05556
IPI00291792	Q6PJ75
IPI00291792	P05107
IPI00291792	B4E0R1
IPI00303283	P05106
IPI00027422	P16144
IPI00000151	P18564
IPI00000151	A8K2N5
IPI00000151	B4E2B8
IPI00297880	P26010
IPI00297880	B7Z506
IPI00029533	P26012
IPI00029533	Q9BUG9
IPI00028116	Q8NBW7
IPI00028116	P24390
IPI00018248	P33947
IPI00376991	O43731
IPI00000073	P01133
IPI00000070	Q9UH51
IPI00000070	P01130
IPI00020557	Q6LBN5
IPI00020557	Q6LAF4
IPI00020557	Q07954
IPI00020557	Q59FG2
IPI00414231	Q66K21
IPI00414231	Q7Z4F1
IPI00414231	Q5I0F9
IPI00414231	Q6IAK3
IPI00045841	Q86VZ4
IPI00021027	Q9Y561
IPI00032063	Q53S73
IPI00032063	Q9NZR2
IPI00024292	Q53TL0
IPI00024292	Q7Z5C1
IPI00024292	P98164
IPI00024292	Q7Z5C0
IPI00024292	Q4ZG84
IPI00000201	B7ZAJ9
IPI00000201	O75074
IPI00744811	O75197
IPI00000203	O75581
IPI00005774	Q14114
IPI00022608	Q92673
IPI00022608	B4DJ13
IPI00024273	P98155
IPI00855821	Q9ULB1
IPI00007921	Q9P2S2
IPI00414249	Q9Y4C0
IPI00029693	Q7Z3T9
IPI00029693	B7ZL68
IPI00029693	O60462
IPI00412982	P46531
IPI00297655	Q96JU8
IPI00297655	Q9UFD5
IPI00297655	Q13560
IPI00297655	Q04721
IPI00029819	Q9UM47
IPI00829649	B2RTR4
IPI00829649	Q99466
IPI00829649	Q6P3V5
IPI00014374	Q13635
IPI00419647	Q9Y6C5
IPI00552671	Q9UIW2
IPI00020884	P51805
IPI00165931	Q9HCM2
IPI00455329	O43157
IPI00853369	Q3LIB1
IPI00853369	O15031
IPI00853369	Q2TBE4
IPI00155729	B7Z9A5
IPI00155729	Q9ULL4
IPI00024766	O60486
IPI00412492	B4DRU3
IPI00412492	Q86YC4
IPI00412492	Q9Y4D7
IPI00412492	Q6P657
IPI00032420	O60894
IPI00032420	Q53T50
IPI00299297	A7L9S6
IPI00299297	O60895
IPI00032425	O60896
IPI00032425	A4D2L1
IPI00743698	B7Z2A4
IPI00745991	P23467
IPI00306325	B1ALS2
IPI00306325	Q5T9M5
IPI00306325	B4E0V3
IPI00011644	A8K2Z9
IPI00011644	P23469
IPI00011644	Q96P81
IPI00465186	P10586
IPI00011651	P23470
IPI00760988	C9JCH2
IPI00760988	Q9HD43
IPI00290328	Q12913
IPI00470937	Q5TG12
IPI00470937	F5GXI4
IPI00470937	Q86WJ2
IPI00642099	B4DGA3
IPI00642099	E7EPS8
IPI00004440	B4DK12
IPI00004440	Q16849
IPI00004440	A8K604
IPI00334666	Q92932
IPI00334666	Q9Y4I9
IPI00741536	Q9UMZ3
IPI00332271	Q13332
IPI00013096	O14522
IPI00107472	Q92729
IPI00871792	P23471
IPI00871792	B4DFE7
IPI00296542	B2RAJ1
IPI00296542	P16581
IPI00218795	B4DQA0
IPI00218795	Q6ULR8
IPI00218795	P14151
IPI00218795	Q8WW79
IPI00295339	Q6NUL9
IPI00295339	P16109
IPI00295339	B2R785
IPI00002441	P18827
IPI00300407	B4DQ56
IPI00300407	P34741
IPI00395366	O75056
IPI00002435	P26842
IPI00018282	P25942
IPI00456756	Q9HAV5
IPI00470902	E9PC98
IPI00470902	Q68DL5
IPI00470902	B4DLC5
IPI00235003	Q59FU8
IPI00006097	B7Z1D2
IPI00006097	P36941
IPI00027436	P08138
IPI00064377	Q969Z4
IPI00021975	F8U8C0
IPI00021975	C1K3N4
IPI00021975	O00220
IPI00296379	B5BU36
IPI00296379	Q6FH58
IPI00296379	O14763
IPI00021970	B4DQ70
IPI00021970	O14798
IPI00294516	Q9UBN6
IPI00021968	Q9Y6Q6
IPI00018362	Q53F36
IPI00018362	Q4ACX1
IPI00018362	O14836
IPI00218927	Q96RJ3
IPI00024331	Q92956
IPI00293877	Q02223
IPI00293877	Q6PE46
IPI00001796	Q9Y5U5
IPI00001796	A8WFP4
IPI00100067	A8KA09
IPI00100067	Q9NS68
IPI00100067	A8KA26
IPI00023501	Q9UIG9
IPI00023501	Q8IVS6
IPI00023501	P20333
IPI00004413	B3KMB6
IPI00004413	O75509
IPI00220676	Q93038
IPI00018859	P43489
IPI00646641	O95407
IPI00006073	A5D8T4
IPI00006073	B9EGD9
IPI00006073	P28908
IPI00014211	Q07011
IPI00023722	Q99467
IPI00090764	D1CS36
IPI00090764	A8KAB7
IPI00090764	Q32MK4
IPI00090764	D1CS38
IPI00090764	Q6FI64
IPI00090764	Q15399
IPI00090764	D1CS42
IPI00090764	D1CS44
IPI00090764	Q5FWG5
IPI00090764	D1CS35
IPI00090764	D1CS34
IPI00090764	D1CS43
IPI00008887	D1CS20
IPI00008887	D1CS27
IPI00008887	D1CS19
IPI00008887	D1CS26
IPI00008887	Q9BXR5
IPI00008887	D1CS24
IPI00008887	D1CS29
IPI00008887	D1CS28
IPI00008887	D1CS30
IPI00019006	D2JYJ1
IPI00019006	C6KIA6
IPI00019006	B3KWR9
IPI00019006	O60603
IPI00019006	C6KIA9
IPI00019007	E6Y0F0
IPI00019007	E6Y0F1
IPI00019007	Q6PCD4
IPI00019007	O15455
IPI00019007	Q504W0
IPI00019007	B2RAI7
IPI00019007	B7Z7K0
IPI00008673	O00206
IPI00008673	D1CS55
IPI00657896	B1AZ06
IPI00294125	D1CS92
IPI00294125	D1CS97
IPI00294125	D1CS98
IPI00294125	B6CH37
IPI00294125	D1CS91
IPI00294125	B6RFS7
IPI00294125	B6CH44
IPI00294125	B6CH42
IPI00294125	D1CS93
IPI00294125	D1CS96
IPI00294125	Q9Y2C9
IPI00294125	D1CSA0
IPI00294125	B6CH45
IPI00294125	D1CS99
IPI00294125	B2R933
IPI00009812	D1CS68
IPI00009812	Q9NYK1
IPI00009812	B2R9N9
IPI00335051	Q495P6
IPI00335051	D1CS70
IPI00335051	Q495P7
IPI00335051	D1CS76
IPI00215612	Q9UP52
IPI00022462	A8K6Q8
IPI00022462	P02786
IPI00412910	E6Y3F9
IPI00412910	B3KVZ0
IPI00412910	Q8WY21
IPI00044600	Q96PQ0
IPI00044600	B4DIJ4
IPI00010381	Q86XB2
IPI00010381	Q9UPU3
IPI00010381	Q17R88
IPI00217882	A8KAQ3
IPI00217882	Q99523
IPI00414467	Q5KU26
IPI00009521	Q4ZG40
IPI00009521	B4DLJ6
IPI00009521	Q9UEW3
IPI00010351	B4DDJ5
IPI00418495	B3KUB8
IPI00418495	A4D1B1
IPI00418495	D9IX63
IPI00418495	P16671
IPI00418495	D9IX65
IPI00418495	D9IX67
IPI00418495	D9IX64
IPI00418495	B7Z6C3
IPI00291007	B3KW46
IPI00291007	B4E3I1
IPI00291007	Q8WTV0
IPI00291007	Q59FM4
IPI00217766	Q14108
IPI00002252	P34810
IPI00216172	P13473
IPI00004307	B2R7Z2
IPI00004307	B4DZF5
IPI00004307	Q9UQV4
IPI00296527	B2RC37
IPI00296527	Q9UJ71
IPI00006971	Q9HCU0
IPI00014854	Q07108
IPI00014854	Q53ZX0
IPI00010851	Q5TLF8
IPI00010851	Q5TLF7
IPI00010851	P21854
IPI00010851	Q5TLF9
IPI00010851	Q5TLG3
IPI00010851	Q5TLG0
